Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO INTEGRADO DE ATIVIDADES CULTURAIS RAYMUNDO ANDRADE;32052030;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA RUI BARBOSA, 17 CENTRO. 29300-042 Cachoeiro de Itapemirim - ES.";(28) 21014899;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-20.8497;-41.11388
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO;CAEE DR GILSON CARONE - APAE;32052049;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA JOAO SASSO, 702 A 748 SAO GERALDO. 29314-650 Cachoeiro de Itapemirim - ES.";(28) 35222307;Privada;Filantrópica;Sim;Sim;Escola sem matrícula de escolarização;;Atendimento Educacional Especializado;-20.8784838;-41.1281086
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MARIA SILOTI;32052065;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA ADRIAO COELHO FILHO, 39 DR LUIZ TINOCO DA FONSECA. 29313-280 Cachoeiro de Itapemirim - ES.";(28) 35268910;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8321227;-41.1554337
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ZENI PIRES FERREIRA;32052073;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL LINCON VIEIRA DE REZENDE, 31 AMARAL. 29305-160 Cachoeiro de Itapemirim - ES.";(28) 35228291;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8573014;-41.1065244
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEEJA DE CACHOEIRO DE ITAPEMIRIM;32052081;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MOREIRA, 235 INDEPENDENCIA. 29306-320 Cachoeiro de Itapemirim - ES.";(28) 35225678;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação de Jovens Adultos;;-20.8538415748626;-41.1056286469102
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB LIONS CLUBE FRADE E A FREIRA;32052090;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA GODOFREDO ADIVERCI, 18 JARDIM ITAPEMIRIM. 29315-709 Cachoeiro de Itapemirim - ES.";(28) 35268688;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-20.8537474;-41.1541558
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEM CEI ATTILA DE ALMEIDA MIRANDA;32052103;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA NOSSA SENHORA DA CONSOLACAO, 176 VILA RICA. 29301-080 Cachoeiro de Itapemirim - ES.";(28) 35224647;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-20.84221;-41.12875
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO JESUS CRISTO REI;32052120;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA MONTE CASTELO, 09 INDEPENDENCIA. 29306-500 Cachoeiro de Itapemirim - ES.";(28) 35211800;Privada;Filantrópica;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.8487754;-41.1098569
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB MARIA DAS GRACAS FELIPPE;32052138;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"PERCENDINO SALES, S/N DISTRITO INDUSTRIAL. SAO JOAQUIM. 29313-290 Cachoeiro de Itapemirim - ES.";(28) 35116010;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.7956556;-41.1747273
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ALBERTO SARTORIO;32052146;ES;Cachoeiro de Itapemirim;Rural;A escola não está em área de localização diferenciada;Pública;"RUA PROJETADA, SN GRUTA. 29324-000 Cachoeiro de Itapemirim - ES.";(28) 999641050;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-20.8415867;-41.0376518
ESCOLA PARALISADA;EEUEF MOITAOZINHO;32052154;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"PRACA JERONYMO MONTEIRO, S/N, CENTRO. 29300-970 Cachoeiro de Itapemirim - ES.";(28) 35152416;Estadual;Não Informado;Não;;;;;;
ESCOLA PARALISADA;EEPEF - SANTA FE;32052162;ES;Cachoeiro de Itapemirim;Rural;Não Informado;Pública;"RUA BERNARDO HORTA, MARIA ORTIZ. 29301-440 Cachoeiro de Itapemirim - ES.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM AGOSTINHO SIMONATO;32052189;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO RODRIGUES ALMAGO, 01 JARDIM AMERICA. 29310-775 Cachoeiro de Itapemirim - ES.";(28) 35215030;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-20.8498233;-41.1462818
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ANACLETO RAMOS;32052200;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA MARIO IMPERIAL, 02 FERROVIARIOS. 29308-014 Cachoeiro de Itapemirim - ES.";(28) 35226370;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8443193;-41.1128003
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB ANISIO VIEIRA DE ALMEIDA RAMOS;32052219;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA ANTONIO PEDRO CARLETO, 33 VILA RICA. 29301-200 Cachoeiro de Itapemirim - ES.";(28) 31555395;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-20.8410227;-41.1293111
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF DOUTOR ARISTIDES ALEXANDRE CAMPOS;32052227;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA MONTE CASTELO, 120 INDEPENDENCIA. 29300-020 Cachoeiro de Itapemirim - ES.";(28) 35112387;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-20.8475079;-41.1074091
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM BERNARDINO MONTEIRO;32052235;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA FRANCISCO MARTINS, 41 AMARELO. 29304-615 Cachoeiro de Itapemirim - ES.";(28) 35229751;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-20.8595481;-41.1180524
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEFM CAROLINA PASSOS GAIGHER;32052243;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOSE REBELLO, 96 PREDIO. IBITIQUARA. 29307-178 Cachoeiro de Itapemirim - ES.";(28) 35228924;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-20.8448042066082;-41.108859430992
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF CLUBE DO BOSQUE;32052260;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JORGE MARCONDES DE SOUZA, 12 PREDIO. PRESIDENTE ARTHUR DA COSTA E SILVA. 29305-811 Cachoeiro de Itapemirim - ES.";(28) 35181255;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8617793;-41.1086185
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF DONA MARIA SANTANA;32052278;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JACINTO PASTRO, 54 BASILEIA. 29302-848 Cachoeiro de Itapemirim - ES.";(28) 30286033;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8505924;-41.1237449
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EEEF ELISEU LOFEGO;32052286;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA APOSTOLO MATEUS, 23 RUI PINTO BANDEIRA. 29315-802 Cachoeiro de Itapemirim - ES.";(28) 35114361;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-20.8385996;-41.1830156
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEB PROF DAVID ALBERTO LOSS;32052294;ES;Cachoeiro de Itapemirim;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA JORGE SIMAO, 60 CORAMARA. 29313-367 Cachoeiro de Itapemirim - ES.";(28) 30141090;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-20.8310754;-41.1527337
